1,short operation,
2,flood fill,
3,pattern extension,
4,sliding,
5,fixed size search,tiling
6,short operation,
7,pattern extension,
8,sliding,
9,line extension,
10,line extension,
11,grid of grids,
12,blooming,
13,pattern extension,line extension
14,cropping,
15,blooming,
16,short transform,
17,pattern completion,grid of grids
18,object find/overlay,
19,blooming,
20,pattern completion,
21,counting,
22,fixed size search,
23,jigsaw,
24,line extension,
25,sliding,
26,short operation,
27,rotation,
28,pattern completion,
29,rectangle finding,
30,sliding,
31,cropping,
32,sliding,
33,grid of grids,
34,line extension,
35,sliding,
36,cropping,
37,line extension,
38,fixed size search,
39,cropping,
40,key,
41,line extension,
42,blooming,
43,short operation,
44,rectangle finding,
45,line extension,
46,jigsaw,
47,line extension,
48,object find,
49,cropping,
50,line extension,
51,line extension,
52,short transform,
53,short transform,
54,line extension,object finding
55,filling,
56,key,
57,cropping,
58,line extension,
59,grid of grids,
60,line extension,
61,grid of grids,
62,cropping,
63,line extension,
64,line extension,
65,grid of grids,
66,combination,line extension
67,short transform,
68,counting,
69,object find/overlay,
70,rectangle finding,
71,completion,
72,short operation,
73,sliding,
74,completion,
75,grid of grids,
76,object find/overlay,
77,rectangle finding,
78,sliding,
79,fixed size search,
80,blooming,
81,fixed size search,
82,pattern extension,
83,short transform,
84,line extension,
85,rectangle finding,
86,blooming,
87,short transform,
88,cropping,
89,object find/overlay,
90,rectangle finding,
91,cropping,
92,line extension,
93,sliding,
94,blooming,
95,blooming,
96,object find/overlay,
97,image filter,
98,image filter,
99,rectangle finding,
100,rectangle finding,
101,object find/overlay,
102,rectangle finding,
103,key,
104,misc,
105,rectangle finding,
106,short transform,
107,line extension,
108,short transform,
109,grid of grids,
110,pattern completion,
111,fixed size search,
112,pattern completion,
113,short transform,
114,pattern extension,
115,key,
116,short transform,
117,pattern completion,
118,pattern completion,
119,line extension,
120,image filter,
121,,
